artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
Sergei Rachmaninoff;Talistrio,"Casella, Rachmaninoff & Yamada: Chamber Works","Trio élégiaque No. 2 in D Minor, Op. 9: I. Moderato - Allegro vivace",0,1371693,False,0.175,0.0869,2,-20.248,0,0.0427,0.955,0.251,0.0783,0.0345,78.113,4,classical
Bhimsen Joshi,Jeevan Gane Pandit Bhimsen Joshi,Aata Kothe Dhave Man,29,360386,False,0.41,0.245,2,-17.29,1,0.0318,0.957,0.0,0.0793,0.585,102.378,4,classical
Bhimsen Joshi,Jeevan Gane Pandit Bhimsen Joshi,Aata Kothe Dhave Man,29,360386,False,0.41,0.245,2,-17.29,1,0.0318,0.957,0.0,0.0793,0.585,102.378,4,classical
Wolfgang Amadeus Mozart;Daniel Barenboim;Berliner Philharmoniker,Mozart: Piano Concertos Nos. 20 & 22,"Mozart: Piano Concerto No. 20 in D Minor, K. 466: III. Allegro assai",24,417666,False,0.356,0.159,2,-20.231,0,0.0379,0.984,0.943,0.151,0.229,71.779,4,classical
Wolfgang Amadeus Mozart;Mao Fujita,Mozart: The Complete Piano Sonatas,"Piano Sonata No. 3 in B-Flat Major, K. 281: II. Andante amoroso",16,313866,False,0.4,0.0334,3,-26.333,1,0.0502,0.993,0.938,0.11,0.367,94.362,3,classical
Wolfgang Amadeus Mozart;Ingrid Haebler;Wiener Symphoniker;Christoph von Dohnányi,"Mozart: Piano Concertos Nos. 12, 18 & 19","Piano Concerto No. 18 in B-Flat Major, K. 456: II. Andante un poco sostenuto",7,693666,False,0.21,0.0975,7,-21.648,0,0.0342,0.973,0.879,0.5,0.0832,84.993,4,classical
Wolfgang Amadeus Mozart;Ingrid Haebler;London Symphony Orchestra;Sir Colin Davis,Mozart: Piano Concertos Nos. 14-21,"Piano Concerto No. 15 in B-Flat Major, K. 450: II. (Andante)",5,362640,False,0.17,0.045,3,-26.573,1,0.0418,0.99,0.923,0.15,0.0788,56.768,4,classical
Wolfgang Amadeus Mozart;Ingrid Haebler;London Symphony Orchestra;Sir Colin Davis,Mozart: Piano Concertos Nos. 26 & 27; Rondo in A Major,"Piano Concerto No. 26 in D Major, K. 537 ""Coronation"": II. (Larghetto)",3,410066,False,0.302,0.019,9,-26.351,1,0.0361,0.992,0.915,0.17,0.194,70.075,4,classical
Wolfgang Amadeus Mozart;Ingrid Haebler;Ludwig Hoffmann,Mozart: Complete Variations for Piano,"Sonata for Piano 4 Hands in C Major, K. 19d: III. Rondo (Allegretto)",2,225293,False,0.457,0.0888,0,-24.985,1,0.051,0.992,0.917,0.131,0.391,125.826,4,classical
Wolfgang Amadeus Mozart;Hilary Hahn;Natalie Zhu,Mozart - A Classical Dawn,"Sonata for Piano and Violin in E Minor, K. 304: II. Tempo di minuetto",3,337586,False,0.347,0.118,4,-21.192,0,0.0416,0.967,0.0612,0.118,0.257,125.78,4,classical
Wolfgang Amadeus Mozart;Mitsuko Uchida;Cleveland Orchestra,Mozart: A Night of Classics,"Piano Concerto No. 27 in B-Flat Major, K. 595: 2. Larghetto - Live",7,452706,False,0.18,0.0115,3,-30.172,1,0.0399,0.987,0.851,0.0991,0.0861,70.428,4,classical
Wolfgang Amadeus Mozart;Danielle Laval,Mozart: A Night of Classics,"12 Variations on an Allegretto in B Flat, K.500: 6. Variation V",24,45532,False,0.637,0.022,3,-26.353,1,0.0525,0.995,0.909,0.126,0.193,89.78,4,classical
Wolfgang Amadeus Mozart;Danielle Laval,Mozart - Inspiring Classics,"9 Variations on a Minuet by J.P. Duport in D, K.573: 3. Variation II",5,62280,False,0.277,0.177,2,-19.688,1,0.0348,0.974,0.981,0.228,0.85,142.908,3,classical
Wolfgang Amadeus Mozart;Erik Smith,Mozart - Inspiring Classics,"Minuet in F, K.1d",3,79360,False,0.478,0.185,5,-16.501,1,0.037,0.693,0.907,0.0665,0.941,103.495,3,classical
Wolfgang Amadeus Mozart;Danielle Laval,Mozart - Inspiring Classics,"12 Variations on an Allegretto in B Flat, K.500: 8. Variation VII",4,65536,False,0.601,0.0588,10,-27.72,0,0.0747,0.995,0.916,0.0899,0.354,125.689,4,classical
Wolfgang Amadeus Mozart;Academy of St. Martin in the Fields;Sir Neville Marriner,Mozart - Inspiring Classics,"Symphony No. 22 in C, K.162: 3. Presto assai",1,98506,False,0.494,0.216,0,-17.779,1,0.0452,0.966,0.921,0.115,0.641,76.432,3,classical
